nest_key,year,eggs_laid,female_id,male_id,found_date,hatch_date,eggs_hatched,fledglings,fledge_date,clutch_number,fail_date,found_day,hatch_day,first_egg_day,female_status,female_age,female_age_code,male_age,male_age_code,popn_size,annual_density,band_id,sex,weight,age_in_days,recruited,fledge_date_noNA,recruited.f,clutch_num,fledge_day
88-O24D,1988,4,940.25686,940.25682,1988-07-11,1988-07-18,4,3,1988-07-27,2,NA,193,200,183,PG 1,2,ASY,2,ASY,104,9.7196261682243,2011.81995,U,7.9,7,FALSE,1988-07-27,0,2,209
117-P24B,2017,4,2621.66936,2621.66808,2017-06-07,2017-06-15,3,3,2017-06-24,1,NA,158,166,149,MO,1,SY,1,SY,65,6.074766355140187,1741.82264,U,8,7,FALSE,2017-06-24,0,1,175
121-O26E,2021,4,2781.39325,2781.39223,2021-06-20,2021-06-27,4,3,2021-07-06,R1,NA,171,178,161,MO,1,SY,1,SY,77,7.196261682242991,2781.39414,NA,8,7,FALSE,2021-07-06,0,1,187
97-M25C,1997,5,2031.58805,2031.58871,1997-06-22,1997-07-02,4,4,NA,RR1,NA,173,183,165,MO,2,ASY,2,ASY,81,7.570093457943925,2121.65117,U,8.1,7,FALSE,1997-07-11,0,1,192
101-M31E,2001,4,2121.65351,1560.04586,2001-07-15,2001-07-11,4,4,NA,2,NA,196,192,175,MO,3,ASY,1,SY,96,8.971962616822431,1560.04594,U,8.1,7,FALSE,2001-07-20,0,2,201
113-O24D,2013,4,2511.98647,2311.96022,2013-06-19,2013-06-28,3,3,2013-07-07,1,NA,170,179,162,PG 2,1,SY,5,ASY,103,9.626168224299066,2591.93520,U,8.1,7,FALSE,2013-07-07,0,1,188
117-M27E,2017,5,2521.77651,2521.77641,2017-06-25,2017-07-05,5,5,2017-07-14,RR1,2017-07-05,176,186,168,MO,2,ASY,2,ASY,65,6.074766355140187,2631.94827,U,8.1,7,FALSE,2017-07-14,0,1,195
88-M29C,1988,5,940.25822,940.25823,1988-07-09,1988-07-08,5,4,1988-07-17,E2,NA,191,190,172,MO,2,ASY,2,ASY,104,9.7196261682243,2011.81284,U,8.1,7,FALSE,1988-07-17,0,2,199
103-N32B,2003,4,1741.07006,1741.07007,2003-07-10,2003-07-14,4,2,2003-07-23,2,NA,191,195,178,PG 1,2,ASY,2,ASY,56,5.233644859813085,1741.07810,U,8.2,7,FALSE,2003-07-23,0,2,204
88-L19C,1988,4,2011.81242,2011.81102,1988-07-09,1988-07-20,4,3,1988-07-29,E2,NA,191,202,185,MO,1,SY,1,SY,104,9.7196261682243,2020.39719,U,8.2,7,FALSE,1988-07-29,0,2,211
90-M18A,1990,4,2011.81361,2021.76438,1990-06-10,1990-06-18,4,4,1990-06-27,1,NA,161,169,152,MO,2,ASY,1,SY,100,9.345794392523365,2031.56067,U,8.2,7,FALSE,1990-06-27,0,1,178
121-M28A,2021,4,2031.60084,2781.39211,2021-06-01,2021-06-11,4,4,2021-06-20,1,NA,152,162,145,MO,2,ASY,2,ASY,77,7.196261682242991,2781.39335,NA,8.2,7,FALSE,2021-06-20,0,1,171
113-L32A,2013,5,2401.76998,2401.76837,2013-06-05,2013-06-15,3,3,2013-06-24,1,NA,156,166,148,MO,2,ASY,2,ASY,103,9.626168224299066,2591.93486,U,8.2,7,FALSE,2013-06-24,0,1,175
112-N26F,2012,3,2511.98501,2401.76858,2012-07-11,2012-07-18,3,3,2012-07-27,2,NA,193,200,184,MO,1,SY,1,SY,108,10.093457943925234,2511.98780,U,8.2,7,FALSE,2012-07-27,0,2,209
92-M28D,1992,5,2031.56980,2031.56815,1992-06-27,1992-07-02,5,4,1992-07-11,R1,NA,179,184,166,MO,1,SY,2,ASY,96,8.971962616822431,2031.57915,U,8.3,7,FALSE,1992-07-11,0,1,193
99-M28A,1999,5,2121.65105,2121.64650,1999-06-08,1999-06-15,5,5,NA,1,NA,159,166,148,MO,2,ASY,2,ASY,111,10.373831775700936,2121.65747,U,8.3,7,FALSE,1999-06-24,0,1,175
113-P27B,2013,4,2511.98848,2511.98536,2013-07-15,2013-07-22,2,2,2013-07-31,R1,NA,196,203,186,PG 2,1,SY,2,ASY,103,9.626168224299066,2591.93590,U,8.3,7,FALSE,2013-07-31,0,1,212
118-N29E,2018,4,2631.94853,2631.94840,2018-06-21,2018-07-04,4,3,2018-07-12,ERR1,NA,172,185,168,MO,1,SY,1,SY,72,6.728971962616823,2631.95022,NA,8.3,7,FALSE,2018-07-12,0,1,193
102-M26B,2002,4,930.59733,930.59599,2002-06-14,2002-06-20,4,4,2002-07-03,1,NA,165,171,154,PG 2,2,ASY,1,SY,110,10.280373831775702,1741.07206,U,8.3,7,FALSE,2002-07-03,0,1,184
102-P24C,2002,4,930.59758,1560.05011,2002-06-18,2002-06-22,4,2,2002-07-01,R1,NA,169,173,156,MO,2,ASY,1,SY,110,10.280373831775702,1741.07247,U,8.3,7,FALSE,2002-07-01,0,1,182
92-M26I,1992,5,2011.81915,2031.56518,1992-07-07,1992-07-11,5,4,1992-07-20,2,NA,189,193,175,MO,2,ASY,2,ASY,96,8.971962616822431,2031.57991,U,8.4,7,FALSE,1992-07-20,0,2,202
121-O25D,2021,4,2781.39225,2031.60708,2021-07-03,2021-07-13,4,4,2021-07-22,RR1,NA,184,194,177,MO,1,SY,2,ASY,77,7.196261682242991,2781.39449,NA,8.4,7,FALSE,2021-07-22,0,1,203
102-M26B,2002,4,930.59733,930.59599,2002-06-14,2002-06-20,4,4,2002-07-03,1,NA,165,171,154,PG 2,2,ASY,1,SY,110,10.280373831775702,1741.07204,U,8.4,7,FALSE,2002-07-03,0,1,184
111-M20B,2011,5,2321.12882,2321.12712,2011-06-19,2011-07-01,5,5,NA,R1,NA,170,182,164,PG 1,1,SY,1,SY,65,6.074766355140187,2401.76868,NA,8.5,7,FALSE,2011-07-10,0,1,191
90-M29B,1990,4,2021.76962,2021.76955,1990-07-12,1990-07-05,4,4,1990-07-14,2,NA,193,186,169,PG 2,1,SY,1,SY,100,9.345794392523365,2031.56177,U,8.6,7,FALSE,1990-07-14,0,2,195
93-O25F,1993,4,2031.57908,2031.57967,1993-07-05,1993-07-15,3,3,1993-07-24,ERRR1,NA,186,196,179,PG 2,1,SY,1,SY,92,8.598130841121495,2031.58407,U,8.6,7,FALSE,1993-07-24,0,1,205
116-M28B,2016,4,2521.77724,2521.77646,2016-07-02,2016-07-10,4,4,2016-07-19,2,NA,184,192,175,PG 1,1,SY,2,ASY,51,4.766355140186916,2621.66947,U,8.6,7,FALSE,2016-07-19,0,2,201
90-O25D,1990,4,2021.76953,2021.76178,1990-06-19,1990-06-27,4,4,1990-07-06,ER1,NA,170,178,161,MO,1,SY,1,SY,100,9.345794392523365,2031.56137,U,8.7,7,FALSE,1990-07-06,0,1,187
