RowNumber,ID,forehead
260,0054,21.77714741
261,0055,25.03347776
262,0055,27.3266586
263,0055,28.18562658
264,0055,22.38938985
265,0055,29.18248358
266,0056,24.908022
267,0056,11.43469597
268,0056,18.13576935
269,0056,20.77339474
270,0056,13.4119078
271,0057,18.73501487
272,0057,21.74062861
273,0057,18.13271282
274,0057,19.95450586
275,0057,19.5507024
276,0058,23.55363533
277,0058,22.97422053
278,0058,15.83654664
279,0058,23.00317102
280,0058,23.7535498
281,0059,24.32881745
282,0059,26.49856141
283,0059,19.26584817
284,0059,14.08175628
285,0059,25.24928046
286,0061,19.76297997
287,0061,16.56100052
288,0061,13.00187535
289,0061,12.0367269
290,0061,20.17638666
291,0062,25.33778674
292,0062,21.80322222
293,0062,17.28256275
294,0062,33.43966
295,0062,28.43439384
296,0063,23.38230926
297,0063,25.07728286
298,0063,30.37917215
299,0063,22.63123992
300,0063,22.98772701
301,0064,21.42204449
302,0064,12.42640426
303,0064,20.34380157
304,0064,22.31845274
305,0064,22.64029063
306,0065,36.27482566
307,0065,31.7633168
308,0065,32.03638065
309,0065,38.38236224
310,0065,29.02729363
311,0066,22.13222173
312,0066,31.31772509
313,0066,23.6894611
314,0066,21.76935866
315,0066,33.75329651
316,0067,26.01814694
317,0067,29.07406738
318,0067,25.09335072
319,0067,25.89450842
320,0067,25.59031925
321,0068,26.59368106
322,0068,22.59593727
323,0068,24.77149349
324,0068,33.89039846
325,0068,32.96281274
326,0069,31.08159609
327,0069,24.51711013
328,0069,28.1228621
329,0069,32.35694721
330,0069,32.47893092
331,0071,21.65867338
332,0071,21.7671731
333,0071,22.22969652
334,0071,26.81647579
335,0071,22.43742235
336,0072,25.20334626
337,0072,19.75239855
338,0072,20.66508909
339,0072,16.62530816
340,0072,22.03341339
341,0073,15.09755923
342,0073,10.89842864
343,0073,21.95108426
344,0073,23.50707324
345,0073,14.29377374
346,0074,19.05473644
347,0074,28.14499652
348,0074,21.33163679
349,0074,20.91687678
350,0074,31.35996802
351,0075,26.72724884
352,0075,31.22016303
353,0075,29.70760728
354,0075,26.15443963
355,0075,30.90682272
356,0076,16.37057318
357,0076,13.29906518
358,0076,16.4452624
359,0076,17.60566368
360,0076,18.92726153
361,0087,34.1698399
362,0087,15.89482773
363,0087,14.09948421
364,0087,27.03015135
365,0087,9.017302691
366,0089,13.21309145
367,0089,8.069514526
368,0089,20.13702312
369,0089,7.261553543
370,0089,16.53900819
371,0090,16.66887939
372,0090,13.77802394
373,0090,23.01401208
374,0090,23.25039181
375,0090,15.16238807
376,0099,18.46377614
377,0099,30.41847272
378,0099,15.9579474
379,0099,29.61076834
380,0099,24.0570187
381,0112,23.89447553
382,0112,29.56640759
383,0112,24.32702253
384,0112,16.59777084
385,0112,23.79635021
386,0139,27.96640467
387,0139,33.73161901
388,0139,30.62576803
389,0139,26.02265581
390,0139,31.98538713
391,0140,37.8486204
392,0140,31.21851708
393,0140,33.51594935
394,0140,28.30779412
395,0140,27.29789948
396,0141,28.99347272
397,0141,25.50052561
398,0141,27.11322089
399,0141,24.75510762
400,0141,22.16247978
401,0142,41.98571618
402,0142,25.36582525
403,0142,22.33243756
404,0142,30.83877329
405,0142,22.25277561
406,0143,40.78588425
407,0143,29.98168778
408,0143,36.50832975
409,0143,30.42815125
410,0143,33.16983972
411,0150,35.09589681
412,0150,30.86541085
413,0150,35.02099784
414,0150,33.18861593
415,0150,32.87721807
416,0153,27.66267469
417,0153,20.10262763
418,0153,28.45506595
419,0153,26.47931793
420,0153,22.26621384
421,0157,34.79454062
422,0157,30.45262728
423,0157,35.0018101
424,0157,23.90189588
425,0157,25.47504454
426,0158,9.975725823
427,0158,24.51845621
428,0158,22.51930751
429,0158,29.86592833
430,0158,28.38564904
431,0160,27.94966998
432,0160,29.2523972
433,0160,19.1722501
434,0160,25.46202668
435,0160,33.18076982
436,0174,50.18226882
437,0174,42.41350644
438,0174,42.61817986
439,0174,14.57332669
440,0174,7.798334078
441,0175,35.99024338
442,0175,30.20573297
443,0175,27.62146825
444,0175,29.69930445
445,0175,37.46807008
446,0177,19.96856731
447,0177,14.42726998
448,0177,19.41206287
449,0177,19.26988154
450,0177,17.95392711
451,0178,35.9486327
452,0178,34.89175317
453,0178,32.31912136
454,0178,25.27064018
455,0178,34.46565164
456,0185,54.73794461
457,0185,56.36440809
458,0185,50.16182005
459,0185,53.72061827
460,0185,48.6385724
461,0188,42.50405057
462,0188,32.41093565
463,0188,33.79035544
464,0188,29.09799558
465,0188,38.95391214
466,0189,23.94181249
467,0189,19.35833165
468,0189,18.21543625
469,0189,17.08692281
470,0189,23.5228199
471,0190,36.56360562
472,0190,24.98434393
473,0190,27.9449561
474,0190,38.84611285
475,0190,25.88905748
476,0191,27.49128852
477,0191,24.98354702
478,0191,16.09826673
479,0191,29.38951219
480,0191,25.98289416
481,0192,32.96333622
482,0192,35.70139957
483,0192,33.70195074
484,0192,33.13042663
485,0192,32.58156522
486,0193,21.45690601
487,0193,16.25634822
488,0193,18.20867549
489,0193,16.48384364
490,0193,24.74086682
491,0195,23.83416358
492,0195,19.63513042
493,0195,26.14487473
494,0195,27.26601125
495,0195,23.68841625
496,0199,19.58540099
497,0199,20.97510769
498,0199,13.70092031
499,0199,15.37298746
500,0199,16.04613901
501,0202,25.39956233
502,0202,27.17285036
503,0202,27.42787354
504,0202,24.26599252
505,0202,32.78344066
506,0205,29.62182984
507,0205,36.20982375
508,0205,36.30918782
509,0205,34.49561464
510,0205,29.74987223
511,0206,14.01680484
512,0206,16.8257721
513,0206,15.52458497
514,0206,18.89714877
515,0206,16.90698748
516,0207,20.49109269
517,0207,19.16812854
518,0207,24.87094816
519,0207,24.42285152
520,0207,19.37277284
521,0211,29.11819117
522,0211,33.19218345
523,0211,32.13264704
524,0211,28.73383986
525,0211,32.81507829
526,0215,28.12888481
527,0215,24.24754422
528,0215,22.08726415
529,0215,20.52085335
530,0215,26.71982317
531,0219,28.62221121
532,0219,32.84996858
533,0219,23.17655458
534,0219,27.08482778
535,0219,28.39413149
536,0220,30.54878515
537,0220,29.45374726
538,0220,37.26770964
539,0220,35.83049799
540,0220,27.47237616
541,0221,19.59886824
542,0221,19.09184277
543,0221,22.56781024
544,0221,20.40752087
545,0221,21.03192012
546,0223,17.33206856
547,0223,23.79407868
548,0223,21.16817049
549,0223,21.95174368
550,0223,16.16588305
551,0224,43.60511279
552,0224,35.53833418
553,0224,33.04378202
554,0224,36.93720615
555,0224,36.85539623
556,0227,28.6265259
557,0227,26.62052825
558,0227,32.94953732
559,0227,27.4102877
560,0227,33.00740031
561,0230,30.92463089
562,0230,21.1277516
563,0230,31.27779812
564,0230,28.62111865
565,0230,28.86106486
566,0231,30.50409528
567,0231,32.84273243
568,0231,29.88056428
569,0231,24.96217505
570,0231,36.13790979
571,0233,33.01775272
572,0233,32.5356508
573,0233,33.91248801
574,0233,28.71874098
575,0233,29.21580976
576,0235,22.75788639
577,0235,16.33567626
