RowNumber,ID,SeqNum,RepFore,OrigFore
156,37,1,18.2043894,17.88860456
157,37,2,19.57464361,28.41281767
158,37,3,25.78436709,20.96464512
159,37,4,25.30633702,19.12391703
160,37,5,22.3729641,16.57753804
161,38,1,26.19903579,26.28290373
162,38,2,32.29974369,25.4418157
163,38,3,19.72362198,17.63816737
164,38,4,35.08315013,17.26548684
165,38,5,28.91897252,29.55759062
166,39,1,26.54745869,26.12287445
167,39,2,29.77465588,24.46522337
168,39,3,29.12759355,31.97402915
169,39,4,28.5042787,25.96394189
170,39,5,29.69520044,24.29529213
171,40,1,29.77508732,13.82838203
172,40,2,31.10749778,18.30724157
173,40,3,21.73582485,27.26427832
174,40,4,31.15476912,20.14002628
175,40,5,38.14680296,16.98384308
176,815643,1,43.3792845,19.80523771
177,815643,2,29.13850963,18.64927763
178,815643,3,38.82322171,36.75850809
179,815643,4,42.65565607,19.5095905
180,815643,5,33.77177189,31.84588354
181,815644,1,24.9869417,7.198081931
182,815644,2,21.81791032,21.07001972
183,815644,3,26.0669825,10.66341361
184,815644,4,24.21601684,18.54028177
185,815644,5,22.40321026,23.27076155
186,815646,1,21.18846775,18.01881127
187,815646,2,24.89987766,17.90186828
188,815646,3,22.21329454,15.40950012
189,815646,4,21.4438658,18.39069195
190,815646,5,32.1073765,11.60663189
191,815650,1,31.0527311,28.54845214
192,815650,2,28.68368703,21.39666576
193,815650,3,31.30234643,24.06165681
194,815650,4,32.23635675,22.93792354
195,815650,5,27.97674753,24.78854528
196,815652,1,34.21660584,16.56228615
197,815652,2,31.1086923,24.7397347
198,815652,3,31.23171012,20.83956103
199,815652,4,25.0385718,19.04950401
200,815652,5,23.25304898,24.39152502
201,815655,1,35.74824748,25.80646894
202,815655,2,32.52722345,26.86429187
203,815655,3,32.00616253,20.06466859
204,815655,4,32.39333907,21.28024392
205,815655,5,36.76595773,20.22528577
206,815656,1,35.34908956,35.80481239
207,815656,2,34.72967607,18.85064423
208,815656,3,45.92196651,26.1955655
209,815656,4,39.35057183,14.96219749
210,815656,5,34.69789152,36.36043904
211,815657,1,36.7328594,39.20227065
212,815657,2,45.63563515,35.57224836
213,815657,3,33.29149703,34.01766812
214,815657,4,33.86133954,34.38159129
215,815657,5,36.6028286,33.2215479
216,815658,1,27.95907765,31.30092785
217,815658,2,29.72857648,31.25622216
218,815658,3,35.2208832,15.12420309
219,815658,4,30.11252163,26.82075862
220,815658,5,30.6058144,31.82948467
221,97276,1,18.55419998,20.07845966
222,97276,2,20.51039077,14.303232
223,97276,3,23.9026703,17.80498576
224,97276,4,21.82907561,21.02345406
225,97276,5,19.76566097,21.29136584
226,97277,1,32.75505718,30.76614853
227,97277,2,30.68469017,26.12150896
228,97277,3,34.60316006,14.60364435
229,97277,4,25.67817575,33.6684754
230,97277,5,33.90987884,16.31371328
231,97278,1,22.94460917,20.13699502
232,97278,2,27.17603229,28.41653539
233,97278,3,27.41796933,24.23543539
234,97278,4,28.26759647,17.86515773
235,97278,5,25.93286871,21.77865882
236,97279,1,35.80685391,16.89494994
237,97279,2,29.40838543,20.69450502
238,97279,3,23.82714256,23.05835696
239,97279,4,16.442587,23.02785009
240,97279,5,34.52644846,22.28279549
241,97280,1,25.41948782,21.82210699
242,97280,2,24.97719619,20.35400356
243,97280,3,25.82333856,12.81009601
244,97280,4,25.57850848,20.1634339
245,97280,5,24.18536653,14.22732499
246,97283,1,23.33581635,26.85033886
247,97283,2,21.15506154,18.47802981
248,97283,3,26.9444438,35.42292279
249,97283,4,24.7215982,20.89990723
250,97283,5,22.54431263,20.68837567
